POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
225,-0.0,-0.0,-0.0,-51.08,-21.88,0.0,0.0,58.99,-4.34,0.0,-72.96,54.65,-18.31
230,-0.0,0.0,-0.0,-50.79,-24.75,-0.0,-0.0,51.34,-4.13,0.0,-75.54,47.22,-28.32
235,-0.0,-0.0,0.0,-49.33,-16.62,-0.0,-0.0,43.24,-4.21,0.0,-65.95,39.03,-26.92
240,0.0,0.0,0.0,-51.76,-21.18,0.0,0.0,48.65,-4.24,0.0,-72.94,44.41,-28.53
245,0.0,-0.0,0.0,-51.39,-26.82,-0.0,-0.0,61.85,-4.2,0.0,-78.2,57.65,-20.55
250,0.0,0.0,0.0,-48.48,-25.44,0.0,0.0,57.98,-4.18,0.0,-73.91,53.81,-20.1
255,0.0,0.0,0.0,-47.1,-21.02,-0.0,0.0,54.34,-4.05,0.0,-68.12,50.29,-17.83
260,-0.0,0.0,-0.0,-49.25,-18.15,0.0,0.0,45.07,-4.1,0.0,-67.4,40.97,-26.43
265,-0.0,0.0,0.0,-46.74,-17.33,-0.0,0.0,44.36,-4.23,0.0,-64.07,40.13,-23.94
270,-0.0,-0.0,0.0,-46.43,-16.33,0.0,-0.0,39.36,-4.25,0.0,-62.76,35.11,-27.65
275,-0.0,-0.0,-0.0,-46.09,-11.31,0.0,0.0,42.2,-4.11,0.0,-57.4,38.09,-19.3
280,0.0,0.0,0.0,-45.84,-10.45,0.0,-0.0,35.25,-4.07,0.0,-56.29,31.18,-25.11
285,-0.0,0.0,0.0,-44.65,-12.94,-0.0,0.0,38.62,-3.96,0.0,-57.59,34.66,-22.93
290,-0.0,-0.0,0.0,-43.04,-21.05,-0.0,0.0,43.33,-4.15,0.0,-64.1,39.18,-24.92
295,0.0,-0.0,-0.0,-45.28,-7.34,-0.0,0.0,33.55,-4.05,0.0,-52.62,29.49,-23.12
300,0.0,0.0,0.0,-45.15,-17.89,0.0,0.0,33.3,-3.75,0.0,-63.04,29.55,-33.48


