GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
247,884.17,2409.97,2916.85,-2290.32,-20513.17,1100.1,11259.74,-2350.51,88.84,-4232.67,-2261.67,-6494.35
248,880.14,2386.84,2922.81,-2292.68,-20475.22,1083.13,11274.64,-2386.51,91.61,-4220.34,-2294.9,-6515.24
249,894.31,2381.38,2902.5,-2300.26,-20562.8,1059.84,11275.08,-2328.31,90.21,-4349.95,-2238.09,-6588.05
250,867.2,2383.38,2911.17,-2297.63,-20505.03,1088.22,11241.72,-2359.19,91.21,-4310.98,-2267.98,-6578.96
251,843.73,2399.25,2964.79,-2294.46,-20502.94,1102.53,11221.06,-2377.63,90.95,-4266.04,-2286.67,-6552.72
252,944.22,2397.59,2925.16,-2278.75,-20534.18,1052.96,11242.1,-2335.94,92.26,-4250.9,-2243.69,-6494.59
253,879.95,2440.75,2906.09,-2262.14,-20552.63,1081.46,11203.65,-2310.33,90.84,-4302.85,-2219.49,-6522.34
254,853.01,2338.95,2936.55,-2315.82,-20581.8,1106.64,11225.7,-2291.24,89.44,-4436.77,-2201.8,-6638.57
255,882.03,2385.27,2877.64,-2314.42,-20402.76,1081.12,11252.68,-2442.47,90.18,-4238.43,-2352.29,-6590.72
256,910.16,2361.55,2913.96,-2291.02,-20500.08,1090.89,11249.93,-2382.53,88.81,-4264.61,-2293.72,-6558.33
257,916.28,2403.29,2905.19,-2306.95,-20645.66,1103.77,11331.88,-2325.71,87.2,-4292.21,-2238.51,-6530.72
258,888.57,2387.47,2905.69,-2306.91,-20476.36,1099.25,11326.0,-2412.84,89.27,-4176.28,-2323.57,-6499.86
259,892.68,2423.99,2887.72,-2287.58,-20482.45,1072.88,11241.47,-2383.0,91.1,-4251.28,-2291.9,-6543.18
260,920.61,2386.08,2927.16,-2271.56,-20417.69,1108.66,11304.96,-2481.8,91.49,-4041.77,-2390.31,-6432.08
