POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
270,0.0,0.0,-0.0,-18.06,-30.94,0.0,0.0,46.19,-2.13,0.0,-49.0,44.07,-4.94
280,-0.0,0.0,-0.0,-16.46,-34.9,-0.0,0.0,42.25,-1.63,0.0,-51.35,40.62,-10.73
290,0.0,0.0,-0.0,-16.5,-11.91,0.0,-0.0,22.13,-1.71,0.0,-28.41,20.42,-7.99
300,0.0,0.0,-0.0,-18.78,-33.77,-0.0,-0.0,43.27,-2.12,0.0,-52.56,41.15,-11.41
310,0.0,0.0,-0.0,-16.97,-27.1,0.0,-0.0,36.17,-1.91,0.0,-44.07,34.26,-9.81
320,-0.0,-0.0,-0.0,-18.33,-36.43,-0.0,-0.0,54.26,-2.2,0.0,-54.76,52.05,-2.71
330,0.0,0.0,-0.0,-14.92,-25.3,-0.0,0.0,36.0,-1.86,0.0,-40.22,34.14,-6.08
340,0.0,-0.0,0.0,-16.7,-26.2,-0.0,-0.0,35.65,-2.0,0.0,-42.9,33.64,-9.26
350,0.0,-0.0,0.0,-16.88,-28.75,-0.0,0.0,39.65,-1.96,0.0,-45.63,37.7,-7.93
360,0.0,-0.0,-0.0,-17.22,-24.4,0.0,0.0,33.71,-1.63,0.0,-41.62,32.09,-9.54
370,-0.0,-0.0,0.0,-20.36,-16.14,-0.0,0.0,32.53,-1.69,0.0,-36.49,30.84,-5.66
380,0.0,-0.0,-0.0,-17.11,-24.37,0.0,0.0,42.13,-1.88,0.0,-41.49,40.26,-1.23
390,-0.0,0.0,0.0,-17.32,-35.91,-0.0,-0.0,45.11,-1.88,0.0,-53.23,43.23,-10.0
400,0.0,0.0,0.0,-19.72,-29.12,0.0,-0.0,49.26,-1.72,0.0,-48.85,47.53,-1.31
410,-0.0,-0.0,0.0,-21.4,-30.23,-0.0,-0.0,47.67,-1.78,0.0,-51.63,45.89,-5.74
420,0.0,-0.0,0.0,-19.8,-19.54,0.0,-0.0,29.1,-1.95,0.0,-39.34,27.15,-12.19
430,0.0,0.0,0.0,-19.9,-31.1,-0.0,0.0,38.25,-1.73,0.0,-51.01,36.52,-14.49
440,-0.0,0.0,-0.0,-21.38,-36.31,-0.0,-0.0,45.85,-2.03,0.0,-57.69,43.83,-13.86
450,0.0,0.0,0.0,-22.05,-9.16,-0.0,0.0,27.45,-2.07,0.0,-31.2,25.37,-5.83
460,-0.0,-0.0,-0.0,-15.22,-15.47,0.0,0.0,24.3,-1.76,0.0,-30.69,22.54,-8.15
470,-0.0,0.0,0.0,-12.91,-57.47,-0.0,0.0,54.23,-1.57,0.0,-70.38,52.67,-17.71
480,-0.0,-0.0,-0.0,-17.81,-36.06,-0.0,-0.0,50.18,-1.95,0.0,-53.87,48.23,-5.64
490,0.0,0.0,0.0,-14.81,-59.11,0.0,0.0,59.05,-1.58,0.0,-73.92,57.47,-16.44
500,-0.0,0.0,0.0,-11.51,-51.58,-0.0,0.0,50.19,-1.91,0.0,-63.08,48.28,-14.8


