POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
418,40.4,285.09,21.36,-2.87,-27.13,67.23,5.81,-16.87,1.88,0.0,389.89,-14.99,374.9
419,36.13,301.14,22.24,-3.03,-26.42,53.38,5.62,-17.61,1.86,0.0,389.06,-15.76,373.31
420,36.85,296.29,23.65,-2.74,-26.0,56.06,5.71,-18.07,1.86,0.0,389.82,-16.21,373.61
421,34.61,285.5,23.35,-2.79,-26.61,66.69,5.71,-17.26,1.89,0.0,386.46,-15.37,371.09
422,34.03,302.07,22.79,-2.95,-27.21,57.75,5.83,-16.83,1.85,0.0,392.29,-14.98,377.32
423,26.62,296.7,23.06,-2.65,-27.13,63.82,6.77,-17.6,1.87,0.0,387.2,-15.73,371.47
424,29.4,297.1,22.5,-2.55,-26.38,61.87,5.14,-17.35,1.88,0.0,387.08,-15.47,371.61
425,32.28,291.77,23.14,-2.48,-25.82,63.16,5.45,-18.38,1.9,0.0,387.51,-16.48,371.03
426,35.53,287.69,25.07,-2.39,-27.43,62.5,6.38,-16.66,1.82,0.0,387.34,-14.84,372.5
427,38.96,290.99,21.76,-2.93,-26.6,60.17,6.44,-17.91,1.87,0.0,388.79,-16.05,372.74
428,32.26,294.84,23.27,-2.51,-26.98,61.86,6.04,-17.65,1.86,0.0,388.78,-15.79,372.99
429,27.7,295.08,23.22,-2.47,-25.08,61.78,5.56,-18.9,1.9,0.0,385.79,-17.0,368.79
430,30.21,289.64,25.25,-2.58,-26.57,70.57,5.84,-17.94,1.84,0.0,392.36,-16.09,376.26
431,44.3,292.75,22.61,-2.76,-26.18,58.53,5.26,-17.62,1.87,0.0,394.51,-15.75,378.77
432,27.55,295.44,23.23,-2.93,-26.44,67.21,6.39,-18.18,1.88,0.0,390.45,-16.3,374.16
433,26.53,295.79,22.66,-3.03,-26.7,72.0,5.99,-17.55,1.88,0.0,393.23,-15.67,377.56
434,32.51,285.89,23.41,-2.17,-27.64,71.6,6.66,-17.65,1.85,0.0,390.25,-15.8,374.45
435,36.03,288.16,23.37,-2.77,-26.51,62.73,5.94,-17.85,1.85,0.0,386.96,-15.99,370.97
436,25.72,303.56,25.04,-2.91,-26.35,59.35,6.03,-17.65,1.89,0.0,390.43,-15.76,374.67
437,29.16,293.74,21.78,-2.58,-26.41,66.89,5.94,-17.71,1.87,0.0,388.52,-15.84,372.68
438,31.47,298.51,24.92,-0.68,-25.99,62.01,5.1,-17.76,1.85,0.0,395.35,-15.91,379.44
439,30.23,289.99,24.42,-2.54,-28.29,67.1,6.37,-16.74,1.84,0.0,387.26,-14.9,372.37
440,27.53,301.91,22.75,-2.69,-27.27,62.55,6.19,-17.4,1.86,0.0,390.98,-15.53,375.45
